,state,colonies_number,yield_per_colony,production,average_price,year
0,Alabama,16000,58,928000,62.0,1995
1,Arizona,52000,79,4108000,68.0,1995
2,Arkansas,50000,60,3000000,64.0,1995
3,California,420000,93,39060000,60.0,1995
4,Colorado,45000,60,2700000,68.0,1995
5,Florida,230000,86,19780000,63.0,1995
6,Georgia,70000,62,4340000,69.0,1995
7,Hawaii,8000,129,1032000,55.0,1995
8,Idaho,125000,48,6000000,65.0,1995
9,Illinois,11000,74,814000,102.0,1995
10,Indiana,12000,63,756000,68.0,1995
11,Iowa,50000,68,3400000,72.0,1995
12,Kansas,17000,67,1139000,71.0,1995
13,Kentucky,3000,44,132000,103.0,1995
14,Louisiana,33000,119,3927000,61.0,1995
15,Maine,11000,45,495000,100.0,1995
16,Maryland,7000,35,245000,114.0,1995
17,Michigan,97000,92,8924000,72.0,1995
18,Minnesota,165000,82,13530000,66.0,1995
19,Mississippi,16000,70,1120000,64.0,1995
20,Missouri,23000,67,1541000,65.0,1995
21,Montana,106000,80,8480000,66.0,1995
22,Nebraska,60000,73,4380000,68.0,1995
23,Nevada,9000,29,261000,96.0,1995
24,NewJersey,8000,34,272000,71.0,1995
25,NewMexico,19000,65,1235000,68.0,1995
26,NewYork,70000,75,5250000,66.0,1995
27,NorthCarolina,12000,52,624000,81.0,1995
28,NorthDakota,220000,108,23760000,63.0,1995
29,Ohio,25000,62,1550000,72.0,1995
30,Oklahoma,5000,76,380000,91.0,1995
31,Oregon,52000,52,2704000,71.0,1995
32,Pennsylvania,25000,43,1075000,69.0,1995
33,SouthCarolina,9000,90,810000,128.0,1995
34,SouthDakota,240000,85,20400000,65.0,1995
35,Tennessee,4000,53,212000,114.0,1995
36,Texas,84000,106,8904000,64.0,1995
37,Utah,32000,33,1056000,61.0,1995
38,Vermont,5000,67,335000,83.0,1995
39,Virginia,9000,45,405000,55.0,1995
40,Washington,60000,59,3540000,54.0,1995
41,WestVirginia,13000,41,533000,116.0,1995
42,Wisconsin,73000,79,5767000,71.0,1995
43,Wyoming,38000,36,1368000,68.0,1995
44,Alabama,16000,64,1024000,86.0,1996
45,Arizona,32000,60,1920000,84.0,1996
46,Arkansas,40000,84,3360000,87.0,1996
47,California,390000,70,27300000,84.0,1996
48,Colorado,30000,74,2220000,79.0,1996
49,Florida,240000,105,25200000,91.0,1996
50,Georgia,75000,68,5100000,89.0,1996
51,Hawaii,8000,155,1240000,80.0,1996
52,Idaho,110000,45,4950000,90.0,1996
53,Illinois,11000,74,814000,130.0,1996
54,Indiana,9000,75,675000,107.0,1996
55,Iowa,58000,67,3886000,98.0,1996
56,Kansas,16000,51,816000,96.0,1996
57,Kentucky,3000,60,180000,127.0,1996
